# cluster_name	protein_number	swiss_prot_id	go_annotation	protein_list
cluster23969	2	Q6JN46	GO:0050832; P:defense response to fungus; IDA:UniProtKB	Artocaprus_hirsutus|Arthir34825;Artocaprus_hirsutus|Arthir34826
cluster23970	2	O81004	GO:0046872; F:metal ion binding; IEA:UniProtKB-KW	Artocaprus_hirsutus|Arthir26073;Artocaprus_hirsutus|Arthir16972
cluster23971	2	Q8GWI7	GO:0030246; F:carbohydrate binding; IEA:UniProtKB-KW	Artocaprus_hirsutus|Arthir42332;Artocaprus_hirsutus|Arthir8471
cluster23972	2	N/A	N/A	Artocaprus_hirsutus|Arthir4310;Artocaprus_hirsutus|Arthir16256
cluster23973	2	N/A	N/A	Artocaprus_hirsutus|Arthir2567;Artocaprus_hirsutus|Arthir10387
cluster23974	2	N/A	N/A	Artocaprus_hirsutus|Arthir4364;Artocaprus_hirsutus|Arthir4386
cluster23975	2	N/A	N/A	Artocaprus_hirsutus|Arthir26565;Artocaprus_hirsutus|Arthir36281
cluster23976	2	N/A	N/A	Artocaprus_hirsutus|Arthir15044;Artocaprus_hirsutus|Arthir15049
cluster23977	2	N/A	N/A	Artocaprus_hirsutus|Arthir12939;Artocaprus_hirsutus|Arthir46
cluster23978	2	Q9FIA1	GO:0016042; P:lipid catabolic process; IEA:UniProtKB-KW	Artocaprus_hirsutus|Arthir417;Artocaprus_hirsutus|Arthir36305
cluster23979	2	N/A	N/A	Artocaprus_hirsutus|Arthir4498;Artocaprus_hirsutus|Arthir30653
cluster23980	2	N/A	N/A	Artocaprus_hirsutus|Arthir11805;Artocaprus_hirsutus|Arthir40868
cluster23981	2	Q9FH40	GO:0006355; P:regulation of transcription, DNA-templated; IEA:InterPro	Artocaprus_hirsutus|Arthir6434;Artocaprus_hirsutus|Arthir12819
cluster23982	2	N/A	N/A	Artocaprus_hirsutus|Arthir34373;Artocaprus_hirsutus|Arthir23464
cluster23983	2	N/A	N/A	Artocaprus_hirsutus|Arthir2695;Artocaprus_hirsutus|Arthir17518
cluster23984	2	Q8VWF6	GO:0009058; P:biosynthetic process; IEA:InterPro	Artocaprus_hirsutus|Arthir7086;Artocaprus_hirsutus|Arthir9639
cluster23985	2	O24648	GO:0009686; P:gibberellin biosynthetic process; IDA:UniProtKB	Artocaprus_hirsutus|Arthir12625;Artocaprus_hirsutus|Arthir5168
cluster23986	2	N/A	N/A	Artocaprus_hirsutus|Arthir41591;Artocaprus_hirsutus|Arthir19865
cluster23987	2	N/A	N/A	Artocaprus_hirsutus|Arthir41385;Artocaprus_hirsutus|Arthir37362
cluster23988	2	F4JT78	GO:0007165; P:signal transduction; IEA:InterPro	Artocaprus_hirsutus|Arthir27555;Artocaprus_hirsutus|Arthir22408
cluster23989	2	Q9SW11	GO:0004842; F:ubiquitin-protein transferase activity; IEA:InterPro	Artocaprus_hirsutus|Arthir33183;Artocaprus_hirsutus|Arthir39868
cluster23990	2	N/A	N/A	Artocaprus_hirsutus|Arthir21168;Artocaprus_hirsutus|Arthir34398
cluster23991	2	Q9ZNU2	GO:0048317; P:seed morphogenesis; IMP:UniProtKB	Artocaprus_hirsutus|Arthir16907;Artocaprus_hirsutus|Arthir1925
cluster23992	2	N/A	N/A	Artocaprus_hirsutus|Arthir15525;Artocaprus_hirsutus|Arthir15524
cluster23993	2	O64781	GO:0048544; P:recognition of pollen; IEA:InterPro	Artocaprus_hirsutus|Arthir9196;Artocaprus_hirsutus|Arthir9195
cluster23994	2	Q9FHB6	GO:0009624; P:response to nematode; IEP:TAIR	Artocaprus_hirsutus|Arthir39897;Artocaprus_hirsutus|Arthir966
cluster23995	2	N/A	N/A	Artocaprus_hirsutus|Arthir2120;Artocaprus_hirsutus|Arthir10220
cluster23996	2	Q5J907	GO:0005737; C:cytoplasm; IEA:UniProtKB-SubCell	Artocaprus_hirsutus|Arthir29615;Artocaprus_hirsutus|Arthir19304
cluster23997	2	O22309	GO:0046983; F:protein dimerization activity; IEA:InterPro	Artocaprus_hirsutus|Arthir34791;Artocaprus_hirsutus|Arthir28040
cluster23998	2	N/A	N/A	Artocaprus_hirsutus|Arthir40879;Artocaprus_hirsutus|Arthir32858
cluster23999	2	Q70YV7	GO:0030154; P:cell differentiation; IBA:GO_Central	Artocaprus_hirsutus|Arthir39858;Artocaprus_hirsutus|Arthir10521
cluster24000	2	N/A	N/A	Artocaprus_hirsutus|Arthir27928;Artocaprus_hirsutus|Arthir10156
cluster24001	2	P51075	GO:0009813; P:flavonoid biosynthetic process; IEA:UniProtKB-UniPathway	Artocaprus_hirsutus|Arthir19097;Artocaprus_hirsutus|Arthir39675
cluster24002	2	N/A	N/A	Artocaprus_hirsutus|Arthir36894;Artocaprus_hirsutus|Arthir15585
cluster24003	2	P32869	GO:0015979; P:photosynthesis; IEA:UniProtKB-KW	Artocaprus_hirsutus|Arthir23232;Artocaprus_hirsutus|Arthir39635
cluster24004	2	N/A	N/A	Artocaprus_hirsutus|Arthir6067;Artocaprus_hirsutus|Arthir3712
cluster24005	2	N/A	N/A	Artocaprus_hirsutus|Arthir19787;Artocaprus_hirsutus|Arthir10134
cluster24006	2	N/A	N/A	Artocaprus_hirsutus|Arthir39022;Artocaprus_hirsutus|Arthir28179
cluster24007	2	A6P6V9	GO:0071949; F:FAD binding; IEA:InterPro	Artocaprus_hirsutus|Arthir29176;Artocaprus_hirsutus|Arthir13223
cluster24008	2	P93604	GO:0004674; F:protein serine/threonine kinase activity; IEA:UniProtKB-KW	Artocaprus_hirsutus|Arthir16987;Artocaprus_hirsutus|Arthir12948
cluster24009	2	Q9FHB6	GO:0009624; P:response to nematode; IEP:TAIR	Artocaprus_hirsutus|Arthir14573;Artocaprus_hirsutus|Arthir29841
cluster24010	2	N/A	N/A	Artocaprus_hirsutus|Arthir2352;Artocaprus_hirsutus|Arthir11361
cluster24011	2	Q680I5	GO:0034775; P:glutathione transmembrane transport; IMP:TAIR	Artocaprus_hirsutus|Arthir18536;Artocaprus_hirsutus|Arthir32349
cluster24012	2	N/A	N/A	Artocaprus_hirsutus|Arthir10996;Artocaprus_hirsutus|Arthir15619
cluster24013	2	N/A	N/A	Artocaprus_hirsutus|Arthir36665;Artocaprus_hirsutus|Arthir4643
cluster24014	2	N/A	N/A	Artocaprus_hirsutus|Arthir26626;Artocaprus_hirsutus|Arthir20141
cluster24015	2	N/A	N/A	Artocaprus_hirsutus|Arthir25097;Artocaprus_hirsutus|Arthir21611
cluster24016	2	N/A	N/A	Artocaprus_hirsutus|Arthir29973;Artocaprus_hirsutus|Arthir25858
cluster24017	2	Q8LAP6	GO:0016020; C:membrane; IDA:TAIR	Artocaprus_hirsutus|Arthir9095;Artocaprus_hirsutus|Arthir32856
cluster24018	2	N/A	N/A	Artocaprus_hirsutus|Arthir22780;Artocaprus_hirsutus|Arthir28263
cluster24019	2	N/A	N/A	Artocaprus_hirsutus|Arthir21021;Artocaprus_hirsutus|Arthir34100
cluster24020	2	N/A	N/A	Artocaprus_hirsutus|Arthir31384;Artocaprus_hirsutus|Arthir3795
cluster24021	2	N/A	N/A	Artocaprus_hirsutus|Arthir34964;Artocaprus_hirsutus|Arthir17698
cluster24022	2	N/A	N/A	Artocaprus_hirsutus|Arthir17674;Artocaprus_hirsutus|Arthir43832
cluster24023	2	Q8RXN0	GO:0055085; P:transmembrane transport; IBA:GO_Central	Artocaprus_hirsutus|Arthir11646;Artocaprus_hirsutus|Arthir9730
cluster24024	2	N/A	N/A	Artocaprus_hirsutus|Arthir19518;Artocaprus_hirsutus|Arthir34865
cluster24025	2	N/A	N/A	Artocaprus_hirsutus|Arthir12111;Artocaprus_hirsutus|Arthir451
cluster24026	2	N/A	N/A	Artocaprus_hirsutus|Arthir11605;Artocaprus_hirsutus|Arthir4204
cluster24027	2	N/A	N/A	Artocaprus_hirsutus|Arthir25902;Artocaprus_hirsutus|Arthir42037
cluster24028	2	N/A	N/A	Artocaprus_hirsutus|Arthir41930;Artocaprus_hirsutus|Arthir34335
cluster24029	2	N/A	N/A	Artocaprus_hirsutus|Arthir42781;Artocaprus_hirsutus|Arthir30363
cluster24030	2	N/A	N/A	Artocaprus_hirsutus|Arthir28192;Artocaprus_hirsutus|Arthir20300
cluster24031	2	N/A	N/A	Artocaprus_hirsutus|Arthir4346;Artocaprus_hirsutus|Arthir38420
cluster24032	2	Q0WPR4	GO:0051603; P:proteolysis involved in cellular protein catabolic process; IBA:GO_Central	Artocaprus_hirsutus|Arthir17635;Artocaprus_hirsutus|Arthir11937
cluster24033	2	Q69UP7	GO:0005634; C:nucleus; IEA:UniProtKB-SubCell	Artocaprus_hirsutus|Arthir25997;Artocaprus_hirsutus|Arthir4191
cluster24034	2	N/A	N/A	Artocaprus_hirsutus|Arthir27942;Artocaprus_hirsutus|Arthir38929
cluster24035	2	N/A	N/A	Artocaprus_hirsutus|Arthir45078;Artocaprus_hirsutus|Arthir3740
cluster24036	2	N/A	N/A	Artocaprus_hirsutus|Arthir35616;Artocaprus_hirsutus|Arthir40690
cluster24037	2	Q9LK73	GO:0008194; F:UDP-glycosyltransferase activity; IBA:GO_Central	Artocaprus_hirsutus|Arthir3072;Artocaprus_hirsutus|Arthir13177
cluster24038	2	N/A	N/A	Artocaprus_hirsutus|Arthir5731;Artocaprus_hirsutus|Arthir44201
cluster24039	2	N/A	N/A	Artocaprus_hirsutus|Arthir39381;Artocaprus_hirsutus|Arthir21525
cluster24040	2	N/A	N/A	Artocaprus_hirsutus|Arthir32728;Artocaprus_hirsutus|Arthir20759
cluster24041	2	Q9XJ57	GO:0009813; P:flavonoid biosynthetic process; IEA:UniProtKB-UniPathway	Artocaprus_hirsutus|Arthir42809;Artocaprus_hirsutus|Arthir11096
cluster24042	2	N/A	N/A	Artocaprus_hirsutus|Arthir26194;Artocaprus_hirsutus|Arthir22347
cluster24043	2	N/A	N/A	Artocaprus_hirsutus|Arthir1625;Artocaprus_hirsutus|Arthir5114
cluster24044	2	N/A	N/A	Artocaprus_hirsutus|Arthir31484;Artocaprus_hirsutus|Arthir43353
cluster24045	2	Q8GYH5	GO:0009751; P:response to salicylic acid; IEP:TAIR	Artocaprus_hirsutus|Arthir34169;Artocaprus_hirsutus|Arthir4099
cluster24046	2	P18670	GO:0019862; F:IgA binding; IDA:UniProtKB	Artocaprus_hirsutus|Arthir28638;Artocaprus_hirsutus|Arthir19615
cluster24047	2	N/A	N/A	Artocaprus_hirsutus|Arthir4209;Artocaprus_hirsutus|Arthir27429
cluster24048	2	Q8VYW6	GO:0006979; P:response to oxidative stress; IDA:TAIR	Artocaprus_hirsutus|Arthir32348;Artocaprus_hirsutus|Arthir18535
cluster24049	2	Q94AH6	GO:0006511; P:ubiquitin-dependent protein catabolic process; IBA:GO_Central	Artocaprus_hirsutus|Arthir13013;Artocaprus_hirsutus|Arthir10000
cluster24050	2	N/A	N/A	Artocaprus_hirsutus|Arthir5781;Artocaprus_hirsutus|Arthir20600
cluster24051	2	Q9LVC8	GO:0006744; P:ubiquinone biosynthetic process; IEA:UniProtKB-UniRule	Artocaprus_hirsutus|Arthir2691;Artocaprus_hirsutus|Arthir11218
cluster24052	2	N/A	N/A	Artocaprus_hirsutus|Arthir13373;Artocaprus_hirsutus|Arthir3023
cluster24053	2	Q01554	GO:0015986; P:ATP synthesis coupled proton transport; IEA:InterPro	Artocaprus_hirsutus|Arthir6909;Artocaprus_hirsutus|Arthir25695
cluster24054	2	N/A	N/A	Artocaprus_hirsutus|Arthir24880;Artocaprus_hirsutus|Arthir12407
cluster24055	2	N/A	N/A	Artocaprus_hirsutus|Arthir20911;Artocaprus_hirsutus|Arthir20787
cluster24056	2	N/A	N/A	Artocaprus_hirsutus|Arthir35529;Artocaprus_hirsutus|Arthir3431
cluster24057	2	N/A	N/A	Artocaprus_hirsutus|Arthir36147;Artocaprus_hirsutus|Arthir18728
cluster24058	2	N/A	N/A	Artocaprus_hirsutus|Arthir44806;Artocaprus_hirsutus|Arthir41832
